simulationId,setId,timeToCreate,actionId,typeOfAction,recordType,recordId,associationType,associationTypeId,associatedRecordId,payload,details
{{simulationId}},1,5,200,create_company,company,company_{{simulationId}}_1,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},1,5,100,create_contact,contact,contact_{{simulationId}}_1,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},1,25,300,create_deal,deal,deal_{{simulationId}}_1,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_1|company_{{simulationId}}_1,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},2,55,200,create_company,company,company_{{simulationId}}_2,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},2,55,100,create_contact,contact,contact_{{simulationId}}_2,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},1,60,300,update_deal,deal,deal_{{simulationId}}_1,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},1,65,500,create_note,note,note_{{simulationId}}_1_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_1,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},2,75,300,create_deal,deal,deal_{{simulationId}}_2,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_2|company_{{simulationId}}_2,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},1,100,300,update_deal,deal,deal_{{simulationId}}_1,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},1,105,500,create_note,note,note_{{simulationId}}_1_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_1,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
